id,sender,height,amount,claim_action
110,evmos1rg9uqy2d3rzznld89dusu3k89z8wa6csgnjl8w,267317,12482169389872475244aevmos,ACTION_VOTE
111,evmos18x9v7t48rvnjhupepkdcmmdhyggupfvqltkcfs,267318,3437811781017410980aevmos,ACTION_DELEGATE
112,evmos1dmtn9ykyn299u6kyjyllxvlmyy6zgtf0pr4ldx,267323,3788648901220645923aevmos,ACTION_EVM
113,evmos1nqqxn2txk7kwcx0dhxfn57unnz2cv9ae8py9ar,267329,13369989064959345102aevmos,ACTION_VOTE
114,evmos1v7mv2g89du32qk95r3sz8gcaag4lu2qm2ypujr,267337,9692632613368774143aevmos,ACTION_VOTE
115,evmos18x9v7t48rvnjhupepkdcmmdhyggupfvqltkcfs,267339,3437700518470168873aevmos,ACTION_EVM
116,evmos1me9p0pqlssy4v073paddeeusmthdgzyjlpr2yh,267341,3614341520980834271aevmos,ACTION_EVM
117,evmos1qmuflf8jj0azdahgz703sfcfct0c4tueslgzaf,267347,13366066014933753767aevmos,ACTION_VOTE
118,evmos1llrwwyu54q2hw5sdnry9aen3xy7nlqyx7u79f5,267355,4346846689004598635aevmos,ACTION_VOTE
119,evmos1076c2k8fwh89hc8p2t48k3y8v900gtfzx7h44g,267355,12670004080318976498aevmos,ACTION_VOTE
120,evmos1fu85tryrmslqvl57nuga092unmgnfevz37l892,267361,4253339263183706556aevmos,ACTION_EVM
121,evmos1ngmupqpyunxk7tuph027v3zg9hru9vxzmcdncq,267362,3928038858792177499aevmos,ACTION_VOTE
122,evmos16a9tpeq62yf4dkzuy2q28l29gcxrygw8y8enhj,267365,3507885065267660394aevmos,ACTION_VOTE
123,evmos1mx4tf26m6wznk9ry0g3ltd4g3ez6jlfqst2pu6,267365,19282484818996109777aevmos,ACTION_VOTE
124,evmos1wekag30xyz8mk29cvxsn4tly7378m86e4hgeqg,267367,5050930456860324648aevmos,ACTION_VOTE
125,evmos16a9tpeq62yf4dkzuy2q28l29gcxrygw8y8enhj,267373,3507843388246587906aevmos,ACTION_DELEGATE
126,evmos1llrwwyu54q2hw5sdnry9aen3xy7nlqyx7u79f5,267376,4346698178325510159aevmos,ACTION_DELEGATE
127,evmos16m5nc8l9c3wg9cus2lj59ys0kygyj272scs3gm,267376,3108993831402355823aevmos,ACTION_VOTE
