id,recipient,height,claimed_coins,fund_community_pool_coins
130,evmos1pdpx39qshgjy4ds637g2n0pghttlar55rmt6n7,274487,485016532888293155208aevmos,135821226853437697400aevmos
131,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274487,107534244019357844418aevmos,30113268231270759486aevmos
132,evmos1fg7ewnl702542v2hfkp8x8767ppe92ndym59ex,274487,206966626859321443527aevmos,57957738080291307321aevmos
133,evmos1j94kq8sq5j3kng8s95965hjx4gztpwqcg27ajw,274490,230808795143326283224aevmos,64635629051713194536aevmos
134,evmos1zjspx6kumm6teyk3ueysjnhpyrcktu0u3y34jv,274494,143377552027243721104aevmos,40152464306927750768aevmos
135,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274494,107533164020432790828aevmos,30114348230195813076aevmos
136,evmos1fm6mpd4ysq8pnp7s7kexk8swkpua0ll8a0xzly,274494,143377552027243721104aevmos,40152464306927750768aevmos
137,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274509,107530675391012250561aevmos,30116836859616353343aevmos
138,evmos1pk0xu64k6w86y32jcx06h4gygsdqmjh96lemgk,274509,101414477617039202153aevmos,28403832362154682519aevmos
139,evmos1n47d2603737fqdg4hsrcy70xja2z799n5c242j,274509,125097765888257642600aevmos,35036969618755306136aevmos
140,evmos1a64auxh8e4vr4yd4e9637hwn2zjqf6cuedpcpv,274509,143374233854683000748aevmos,40155782479488471124aevmos
141,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274509,107530675391012250561aevmos,30116836859616353343aevmos
142,evmos19l22sh5utp5lhv763anlad09f7nunvyef4ef5z,274509,143374233854683000748aevmos,40155782479488471124aevmos
143,evmos1gg7f0wfajv5fmd4x5rpaagt3dg8eln97aa4twd,274509,145978557348534621735aevmos,40885192812947151321aevmos
144,evmos1kg7qqx0fu7ywn7j8302w3f60qle7e2d55rr39v,274509,114269163038039395209aevmos,32004130252019049079aevmos
145,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274509,143374233854683000748aevmos,40155782479488471124aevmos
146,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274509,107530675391012250561aevmos,30116836859616353343aevmos
147,evmos1xt75e9xw78n8lm3q9hqkvyvuq55ydzau2ln0u6,274509,143374233854683000748aevmos,40155782479488471124aevmos
148,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274513,107529999231619999932aevmos,30117513019008603972aevmos
149,evmos15w6xwlejqqp0jvp26084ch2thyp82yhza2wq9w,274516,144749608374922547375aevmos,40542989619657251409aevmos
150,evmos173rwuwuwaj5vgd6c75kjxwqlgv09fegd9k6yzl,274516,107529516600785508540aevmos,30117995649843095364aevmos
151,evmos1kg7qqx0fu7ywn7j8302w3f60qle7e2d55rr39v,274517,43713410792522180665aevmos,12243793137911822279aevmos
152,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274517,107529358598060841921aevmos,30118153652567761983aevmos
153,evmos129hvkutu634t2nn05ljqmsw8dzptesfmphxz6r,274517,144749395681392057750aevmos,40543202313187741034aevmos
154,evmos1a879j86yewnr8t5wmx7ulztck2gmhc342n8ekr,274534,143368718012243335688aevmos,40161298321928136184aevmos
155,evmos1dsezl7948zgmvdmjy24gp0rguuqzymvv39ta4y,274534,107526538509182501766aevmos,30120973741446102138aevmos
156,evmos1a42hjw76rtkq5w5ce30sjts8retc2yrv40p0cw,274534,143368718012243335688aevmos,40161298321928136184aevmos
157,evmos1m9vf00476yw3mpfw3k7xldzgwzwx5a7vz7clzw,274548,143365818643189616088aevmos,40164197690981855784aevmos
158,evmos15avn3ahjzv5cpgez88efhzlcpelj2l0a084rn9,274548,143365818643189616088aevmos,40164197690981855784aevmos
159,evmos1uvkmjk9248g68fsudy4dl096yy92686wp6ujuz,274563,143362383056425390124aevmos,40167633277746081748aevmos
160,evmos1g7mvhgk2n6tsvp2cyd4km43efve8t8m4zsphcn,274563,405624380244982716460aevmos,113648859671792822228aevmos
161,evmos18xehph9fqe3llhfsswxdjlyn55zzen42g4935f,274574,143359901685609959472aevmos,40170114648561512400aevmos
162,evmos1uxqh8dhr7qv2vegquuv7eml049l0jgpjpyuwwl,274577,108896256059236589284aevmos,30513837851800341532aevmos
163,evmos1lh9xzrm0h7jdcqevh25h8fcpqahzxccx2s4lpu,274577,143359286925346255836aevmos,40170729408825216036aevmos
164,evmos1lmn0sz0snxu3vwd8qu9np2408azaxy72ewar30,274600,143354299128177561832aevmos,40175717205993910040aevmos
165,evmos1m0kalc6u6rtwfsydqay94fjvlnnjqk2n9atrqu,274600,327086668197841209873aevmos,91667578602700316911aevmos
166,evmos1q9yadw9lelnv5hvr7suxp20w3k8nj3haz3clw6,274600,144731042091704285196aevmos,40561555902875513588aevmos
167,evmos16azcpw9s35cv6d8mvylldff4h33n8hjaznsss2,274600,107515724346133171374aevmos,30131787904495432530aevmos
168,evmos1s34sdypgymhac5zq4hd52gghl7t5qt8ruht3r9,274600,143354299128177561832aevmos,40175717205993910040aevmos
169,evmos1q9yadw9lelnv5hvr7suxp20w3k8nj3haz3clw6,274600,143354299128177561832aevmos,40175717205993910040aevmos
170,evmos1jks6clef5cyvxxpce2fh4sfwtfay9pl4gvgh2f,274600,274477903498385012408aevmos,76923724627088492872aevmos
171,evmos16v2artj8ma0hljc23vapcm8t8k492n5fnu5zdp,274602,143353876877934441088aevmos,40176139456237030784aevmos
172,evmos1hcmcf6vl4fq62lk8gv763uuuzkk70628zcdugh,274602,143353876877934441088aevmos,40176139456237030784aevmos
173,evmos1uzr48uk2lpk052wwyjcu5ajlduaztf5dh82e0g,274619,245905804485389633383aevmos,68925294272547049113aevmos
174,evmos1q9yadw9lelnv5hvr7suxp20w3k8nj3haz3clw6,274619,143350185200639779244aevmos,40179831133531692628aevmos
175,evmos1mm5kzpw7ylr0g7npp7axkuqty24mymqyvyu84g,274619,143350185200639779244aevmos,40179831133531692628aevmos
176,evmos1w6f5lthkjtc9w7eruwg8eeev7mzmzj7wu7xh2l,274619,109302790365799080259aevmos,30636637498407788221aevmos
